epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7078,1.0716,2.85663,1.27549,0.7227,0.47086,0.67699,0.47761,1.01563,2.80884,1.25836,0.000412582,0.000412582,0.000412582
2,41.586,1.04539,1.73768,1.24063,0.70373,0.60515,0.71311,0.47933,1.09568,1.64004,1.31839,0.000812829,0.000812829,0.000812829
3,63.4349,1.08738,1.44271,1.26111,0.69453,0.61357,0.68698,0.4417,1.18969,1.42127,1.37543,0.00119658,0.00119658,0.00119658
4,82.5295,1.03516,1.20651,1.22997,0.7929,0.72617,0.82194,0.59076,1.04031,1.15681,1.25124,0.00117575,0.00117575,0.00117575
5,105.157,1.0354,1.09463,1.21338,0.74635,0.65806,0.77782,0.54479,1.10533,1.34567,1.28562,0.001151,0.001151,0.001151
6,126.546,1.0062,0.98993,1.20417,0.87141,0.75997,0.86278,0.63619,0.98425,0.98101,1.23226,0.00112625,0.00112625,0.00112625
7,145.184,0.96882,0.92351,1.18356,0.72765,0.72448,0.83659,0.62846,0.97528,1.16348,1.21819,0.0011015,0.0011015,0.0011015
8,166.64,0.96087,0.889,1.17877,0.84042,0.81503,0.893,0.66392,0.94662,0.85217,1.18084,0.00107675,0.00107675,0.00107675
9,185.184,0.94431,0.85181,1.17379,0.87321,0.83472,0.91225,0.69172,0.92536,0.76004,1.18161,0.001052,0.001052,0.001052
10,207.568,0.92754,0.8087,1.15642,0.85646,0.81509,0.89077,0.66293,0.95044,0.79083,1.18172,0.00102725,0.00102725,0.00102725
11,226.775,0.90561,0.76051,1.14706,0.88039,0.83595,0.90878,0.69099,0.92896,0.73475,1.1589,0.0010025,0.0010025,0.0010025
12,249.004,0.9154,0.76297,1.14982,0.88646,0.8428,0.91404,0.69494,0.91654,0.72438,1.15469,0.00097775,0.00097775,0.00097775
13,270.482,0.90005,0.7285,1.13926,0.83748,0.8549,0.89674,0.68008,0.89502,0.72083,1.15014,0.000953,0.000953,0.000953
14,288.891,0.87729,0.73632,1.12532,0.86691,0.87042,0.92187,0.71469,0.89209,0.67809,1.14342,0.00092825,0.00092825,0.00092825
15,310.351,0.87067,0.69124,1.10989,0.86654,0.84122,0.90391,0.69484,0.91494,0.70435,1.15883,0.0009035,0.0009035,0.0009035
16,329.212,0.85958,0.686,1.12162,0.88271,0.84504,0.91722,0.70057,0.90496,0.69682,1.14304,0.00087875,0.00087875,0.00087875
17,350.605,0.86076,0.67823,1.12,0.91629,0.86122,0.93318,0.72093,0.89331,0.6383,1.13661,0.000854,0.000854,0.000854
18,372.241,0.8476,0.67429,1.11255,0.90764,0.85126,0.92864,0.72055,0.8812,0.63117,1.1301,0.00082925,0.00082925,0.00082925
19,391.128,0.83309,0.6294,1.10384,0.90546,0.87941,0.93069,0.72827,0.85948,0.6327,1.1235,0.0008045,0.0008045,0.0008045
20,412.88,0.82409,0.62832,1.09785,0.87551,0.86907,0.92568,0.71811,0.88809,0.70233,1.14204,0.00077975,0.00077975,0.00077975
21,431.324,0.81663,0.62149,1.09368,0.899,0.89012,0.938,0.73202,0.86935,0.58301,1.12639,0.000755,0.000755,0.000755
22,452.873,0.81044,0.61057,1.08637,0.91358,0.87559,0.94071,0.73809,0.86409,0.61021,1.11994,0.00073025,0.00073025,0.00073025
23,471.678,0.81518,0.60738,1.09939,0.907,0.89285,0.94144,0.73596,0.86633,0.57873,1.11825,0.0007055,0.0007055,0.0007055
24,492.813,0.80562,0.60278,1.08254,0.91341,0.88087,0.94113,0.73188,0.87,0.58381,1.12022,0.00068075,0.00068075,0.00068075
25,514.073,0.80022,0.55687,1.07522,0.89754,0.89994,0.94001,0.7446,0.83722,0.57561,1.1077,0.000656,0.000656,0.000656
26,532.537,0.79352,0.55741,1.07738,0.91046,0.89058,0.94472,0.74723,0.83947,0.54965,1.10024,0.00063125,0.00063125,0.00063125
27,554.281,0.79203,0.54934,1.07899,0.91762,0.89964,0.94176,0.74799,0.84075,0.55153,1.10365,0.0006065,0.0006065,0.0006065
28,572.56,0.77523,0.54728,1.06474,0.91494,0.89619,0.9446,0.75692,0.83635,0.55384,1.09865,0.00058175,0.00058175,0.00058175
29,594.487,0.77589,0.52762,1.05869,0.93113,0.90327,0.94922,0.7501,0.84401,0.53577,1.11531,0.000557,0.000557,0.000557
30,612.802,0.76371,0.5242,1.06844,0.91342,0.88264,0.94453,0.74769,0.8346,0.54933,1.10719,0.00053225,0.00053225,0.00053225
31,634.185,0.76713,0.52575,1.05953,0.91927,0.89818,0.95289,0.75539,0.84281,0.52165,1.1016,0.0005075,0.0005075,0.0005075
32,656.075,0.75638,0.51486,1.05293,0.93043,0.89661,0.95281,0.75703,0.83856,0.5267,1.11165,0.00048275,0.00048275,0.00048275
33,674.642,0.74961,0.50464,1.0545,0.9195,0.91155,0.95196,0.75754,0.84035,0.51793,1.10191,0.000458,0.000458,0.000458
34,696.338,0.73608,0.48999,1.04486,0.90773,0.9077,0.94248,0.75068,0.84029,0.5419,1.10929,0.00043325,0.00043325,0.00043325
35,715.168,0.7347,0.48511,1.0407,0.9125,0.91338,0.94706,0.76348,0.83486,0.51661,1.10876,0.0004085,0.0004085,0.0004085
36,736.692,0.7306,0.48354,1.04054,0.92737,0.88665,0.94773,0.75473,0.85627,0.5376,1.11775,0.00038375,0.00038375,0.00038375
37,755.078,0.73497,0.47892,1.04362,0.92626,0.90784,0.94989,0.75807,0.83112,0.50684,1.10319,0.000359,0.000359,0.000359
38,776.116,0.71388,0.47333,1.03291,0.92512,0.90925,0.95444,0.76092,0.84967,0.50109,1.11807,0.00033425,0.00033425,0.00033425
39,796.989,0.71889,0.46319,1.03551,0.92177,0.90477,0.95179,0.76017,0.84162,0.50672,1.11475,0.0003095,0.0003095,0.0003095
40,815.299,0.71099,0.4538,1.0329,0.92963,0.8903,0.95022,0.75697,0.83674,0.51451,1.1146,0.00028475,0.00028475,0.00028475
41,838.134,0.64931,0.38923,0.99334,0.91961,0.90825,0.9528,0.76424,0.8227,0.48397,1.10524,0.00026,0.00026,0.00026
42,856.691,0.62701,0.36835,0.98009,0.9322,0.90527,0.953,0.76304,0.83141,0.48783,1.11033,0.00023525,0.00023525,0.00023525
43,878.173,0.63528,0.36545,0.97671,0.94318,0.89414,0.95215,0.77204,0.8283,0.49376,1.09962,0.0002105,0.0002105,0.0002105
44,896.498,0.62443,0.35925,0.97469,0.94791,0.89858,0.95208,0.76685,0.83037,0.49305,1.10499,0.00018575,0.00018575,0.00018575
45,918.792,0.61057,0.34836,0.9669,0.9223,0.91041,0.95635,0.77353,0.81116,0.47842,1.09178,0.000161,0.000161,0.000161
46,937.131,0.6077,0.34109,0.96395,0.94137,0.90914,0.9556,0.77469,0.81494,0.47271,1.09713,0.00013625,0.00013625,0.00013625
47,959.318,0.59854,0.3343,0.95655,0.93096,0.91245,0.95469,0.76839,0.82387,0.48315,1.10381,0.0001115,0.0001115,0.0001115
48,978.121,0.58995,0.33129,0.95347,0.95078,0.90538,0.95558,0.77356,0.8202,0.47665,1.10165,8.675e-05,8.675e-05,8.675e-05
49,1000.28,0.57575,0.3228,0.95267,0.93447,0.91086,0.95565,0.78209,0.80495,0.4728,1.094,6.2e-05,6.2e-05,6.2e-05
50,1018.86,0.57566,0.31923,0.94539,0.9465,0.90326,0.95487,0.78048,0.8086,0.47072,1.09642,3.725e-05,3.725e-05,3.725e-05
